property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
17443,-37.698763,144.904939,55 Moonee Boulevard,GLENROY,5460000,house,2009,3,1,1,SC_059,2116,20031,1043,35,0,hospital_184,4846,S_209,1862
30499,-37.768795,144.992139,91 Arthurton Road,NORTHCOTE,12600000,house,2016,3,2,1,SC_103,3364,20016,301,20,0,hospital_035,1530,S_105,2217
24435,-37.711983,144.968473,48A Mutton Road,FAWKNER,7350000,house,2010,3,2,1,SC_030,2789,19962,757,33,0,hospital_139,2678,S_030,2369
22767,-37.750973,144.968833,40 Rennie Street,COBURG,11770000,house,2012,3,1,2,SC_030,2643,19966,730,26,0,hospital_144,666,S_173,964
7235,-37.730983,144.82499,15 McShane Drive,KEALBA,9680000,house,2010,4,3,2,SC_107,1602,20002,2685,33,0,hospital_005,3401,S_222,1880
31709,-37.74856186,144.9859924,109 Oakover Road,PRESTON,7227000,house,2008,3,1,0,SC_103,1724,20013,1291,25,0,hospital_144,1529,S_105,1577
24380,-37.705563,144.963187,39 Murray Street,FAWKNER,6880000,house,2012,3,1,2,SC_030,3202,19961,663,35,0,hospital_139,3349,S_161,1837
81073,-37.990534,145.223921,26 Power Street,DANDENONG,12087000,house,2015,4,2,2,SC_112,866,19888,1247,54,0,hospital_119,742,S_184,751
26228,-37.586397,144.914816,27 Wyperfeld Avenue,CRAIGIEBURN,4760000,house,2012,3,2,1,SC_016,726,40221,3044,46,0,hospital_104,7175,S_178,1892
81953,-37.984747,145.243144,21 Kathryn Street,DOVETON,3150000,house,2010,3,1,1,SC_077,2320,19888,2989,54,0,hospital_119,2122,S_195,1510
33694,-37.71955872,145.0154724,12 Howard Street,RESERVOIR,4700000,house,2008,2,1,3,SC_047,2486,20010,804,32,0,hospital_139,1549,S_225,1311
